"Name","Symbol","Last","Chg. %","Market Cap","Vol.","1-Year Change","Dividend Yield (%)"
"Guangzhou R&F Properties","2777","14.10","2.03%","44.47B","4.27M","1.32%","9.64%"
"Kingboard Laminates","1888","9.01","-0.88%","28.22B","1.95M","-18.26%","9.37%"
"Qingling Motors","1122","2.26","-0.44%","5.66B","106.00K","-13.36%","8.67%"
"Shanghai La Chapelle Fashion","6116","8.07","0.00%","9.09B","218.40K","-19.30%","8.19%"
"China Cinda Asset Management","1359","2.11","0.00%","195.94B","22.79M","-33.23%","8.06%"
"Dynam Japan","6889","10.56","1.54%","7.90B","675.20K","-21.69%","8.03%"
"Haitong Int Securities","0665","3.54","0.57%","19.95B","3.19M","-23.81%","7.95%"
"Beijing Capital Land","2868","3.40","1.19%","9.96B","768.00K","-18.64%","7.79%"
"Agile Group","3383","12.10","3.42%","45.44B","4.74M","36.36%","7.69%"
"China Aircraft Leasing Group Hold","1848","7.83","0.00%","5.34B","96.00K","-16.44%","7.66%"
"China Merchants Land","0978","1.30","-0.76%","6.38B","468.00K","-22.02%","7.63%"
"Kowloon Develop","0034","8.64","1.29%","9.97B","149.00K","-1.95%","7.62%"
"Shandong Chenming Paper","1812","6.47","0.00%","23.35B","982.00K","-16.48%","7.61%"
"Sinopec Shanghai Petrochemical H","0338","4.77","-1.24%","61.38B","3.37M","8.54%","7.60%"
"Sino-Ocean","3377","4.38","1.15%","32.96B","3.11M","3.59%","7.44%"
"CITIC Telecom Int","1883","2.18","0.93%","7.91B","356.00K","-7.69%","7.41%"
"Hisense Kelon Electrical","0921","7.31","-1.62%","12.88B","1.03M","-37.03%","7.24%"
"VTech","0303","87.30","0.69%","21.89B","104.71K","-27.20%","7.24%"
"China VAST Industrial Urban Develop","6166","3.53","0.00%","5.81B","44.00K","20.07%","7.08%"
"Xinhua Winshare Publishing Media","0811","5.21","-0.38%","10.73B","266.00K","-18.91%","7.05%"
"Yuzhou Properties","1628","4.31","1.17%","17.85B","7.66M","-6.37%","7.04%"
"Stella Intl","1836","8.62","0.58%","6.79B","1000.00","-38.08%","7.00%"
"Guorui Properties","2329","2.28","1.79%","10.13B","2.44M","-6.28%","6.96%"
"Zhejiang Expressway","0576","6.48","3.18%","27.06B","5.86M","-35.59%","6.87%"
"China Citic Bank","0998","4.87","1.88%","302.16B","53.50M","-5.16%","6.71%"
"Road King Infrastructure","1098","13.64","-1.59%","10.39B","223.00K","34.82%","6.71%"
"Langham Hospitality Investments","1270","3.19","0.00%","6.67B","8.00K","-9.37%","6.71%"
"Pacific Textiles","1382","6.81","-0.15%","9.99B","928.00K","-24.81%","6.60%"
"Shenzhen Investment","0604","2.79","1.09%","22.24B","1.81M","-23.97%","6.52%"
"China Everbright Bank","6818","3.37","1.51%","209.21B","6.50M","-11.70%","6.51%"
"Inner Mongolia Yitai al","3948","8.22","0.24%","32.80B","400.00","8.04%","6.51%"
"Yuexiu Property Co","0123","1.43","0.70%","17.48B","9.15M","-2.74%","6.48%"
"China Zhongwang","1333","3.80","-2.06%","21.09B","1.95M","10.23%","6.44%"
"Yanzhou Coal Mining","1171","9.26","0.76%","56.69B","9.43M","17.22%","6.43%"
"Guangzhou Automobile Group","2238","7.02","-2.50%","108.09B","11.35M","-40.35%","6.42%"
"Yuexiu Reit","0405","5.26","0.57%","15.95B","1.27M","4.60%","6.36%"
"SmarTone Telecom","0315","8.00","-0.25%","9.05B","76.00K","-21.53%","6.36%"
"Regal REIT","1881","2.29","0.00%","7.46B","112.00K","-4.98%","6.33%"
"China Everbright","0165","13.38","-0.45%","22.51B","1.10M","-24.92%","6.32%"
"Powerlong Real Estate","1238","4.00","0.25%","15.63B","513.00K","7.55%","6.27%"
"HKT Trust","6823","10.42","0.39%","78.89B","3.59M","3.18%","6.25%"
"China Development Bank","1606","1.50","0.00%","20.10B","0.00","-18.92%","6.20%"
"Anhui Expressway Co","0995","4.57","-1.08%","10.05B","812.00K","-21.69%","6.15%"
"Xinyi Solar","0968","2.38","-2.46%","17.82B","11.47M","7.49%","6.15%"
"Agricultural Bank Of China","1288","3.76","3.87%","1366.17B","166.67M","0.00%","6.09%"
"KWG Property","1813","8.35","1.46%","26.22B","4.33M","42.39%","6.06%"
"Yuexiu Transport Infrastructure","1052","5.97","0.51%","9.84B","832.00K","4.95%","6.06%"
"China Oriental","0581","6.03","3.97%","20.51B","7.55M","39.76%","6.03%"
"China Aoyuan Property","3883","5.38","3.66%","13.94B","8.39M","51.75%","5.97%"
"Fantasia Holdings Group","1777","1.17","-0.85%","6.86B","2.82M","4.42%","5.93%"
